1,2,3,4,11,6,5,9,10,7,8,12,13,14,15,16,17,0
0,2,3,5,4,6,11,7,9,10,8,12,13,14,15,16,17,1
1,0,3,5,7,6,11,4,9,8,10,13,12,14,15,17,16,2
4,5,6,1,8,7,2,0,9,10,11,12,13,15,16,14,17,3
3,5,6,1,10,8,0,9,11,7,2,12,15,16,13,14,17,4
3,4,6,1,8,7,2,0,9,10,11,12,13,15,17,16,14,5
7,8,9,3,11,5,4,10,1,12,13,15,2,0,17,16,14,6
6,8,9,3,13,5,11,2,12,1,15,10,17,4,0,14,16,7
6,7,3,9,15,5,4,10,17,12,16,13,11,1,14,2,0,8
10,11,6,12,14,8,7,13,15,3,4,1,16,17,0,5,2,9
9,11,6,12,4,14,8,3,15,16,1,7,13,0,17,5,2,10
9,10,12,6,1,14,13,7,0,3,2,4,8,15,5,16,17,11
13,14,9,15,11,10,17,16,6,7,8,3,4,1,5,2,0,12
12,14,9,15,7,17,11,6,8,10,16,3,1,2,4,5,0,13
12,13,9,15,11,10,16,17,6,7,8,3,4,1,0,2,5,14
16,17,12,14,13,9,8,10,6,7,11,3,4,5,1,2,0,15
15,17,12,14,10,8,9,13,6,11,7,4,3,5,1,0,2,16
15,16,12,13,8,14,9,6,7,10,11,3,4,5,1,2,0,17
