1,2,3,6,4,5,7,9,8,10,12,11,13,18,14,15,17,19,16,23,20,21,24,22,0
0,2,3,5,4,6,7,9,12,10,8,11,13,18,14,17,19,15,16,23,20,21,24,22,1
1,0,3,5,4,6,7,12,9,10,11,8,18,13,19,17,14,15,23,20,16,21,24,22,2
5,4,6,1,7,2,0,9,12,10,11,8,13,18,14,17,19,15,16,23,20,21,24,22,3
3,5,6,1,12,11,10,7,2,0,9,18,8,13,17,14,19,15,23,20,16,21,24,22,4
3,4,6,1,9,12,7,2,10,0,11,8,13,18,19,14,17,15,16,23,20,21,24,22,5
3,7,8,4,9,5,1,10,0,11,12,2,13,14,18,15,17,19,16,20,23,21,24,22,6
9,8,6,10,3,11,12,13,5,4,1,14,15,0,18,17,16,2,19,20,23,21,24,22,7
7,9,6,10,13,11,3,12,5,4,15,14,1,16,0,18,17,19,2,20,21,23,24,22,8
7,8,6,5,10,3,12,13,11,4,1,14,0,15,16,19,2,17,18,20,23,21,24,22,9
12,11,13,7,14,8,9,6,4,18,15,3,17,5,19,16,20,1,23,21,0,2,24,22,10
10,12,13,7,15,18,14,4,8,6,17,3,9,5,19,16,20,1,23,21,0,2,24,22,11
10,11,13,7,18,4,5,19,17,14,3,9,6,8,15,16,20,1,23,21,2,24,0,22,12
14,10,16,12,15,11,7,17,8,9,19,18,20,6,5,4,3,21,23,24,1,22,0,2,13
15,16,13,17,10,19,18,20,11,12,21,7,8,24,23,9,22,4,6,5,3,1,2,0,14
14,16,13,17,11,18,10,20,19,12,8,7,21,23,9,24,22,6,4,3,5,1,0,2,15
14,15,13,17,20,19,10,18,11,21,12,24,7,23,8,22,9,6,4,5,3,1,2,0,16
18,19,20,14,21,16,15,13,23,12,24,10,11,22,7,4,9,8,5,6,3,1,2,0,17
17,19,20,14,23,12,11,21,10,15,13,16,24,4,22,7,5,3,6,8,9,1,2,0,18
17,18,20,14,24,21,23,12,16,13,10,15,11,22,7,9,4,5,3,8,6,1,2,0,19
21,17,22,18,24,19,23,14,16,15,13,11,12,10,7,4,8,9,5,6,3,1,2,0,20
23,24,22,20,17,19,18,14,16,15,12,13,11,10,4,7,5,9,3,8,6,1,2,0,21
21,24,23,20,17,18,19,14,16,15,13,12,11,10,4,7,5,8,9,3,6,1,2,0,22
21,22,24,20,18,17,19,14,12,15,16,11,13,10,4,5,7,3,9,6,8,2,1,0,23
21,22,23,20,19,17,18,16,14,15,12,13,10,11,4,7,5,9,8,3,6,1,2,0,24
